ZIPCODE,NAME,total_pop,pct_white,pct_black,pct_native,pct_asian,pct_pacific_islander,pct_hispanic,pct_nonhispanic_white,hh_total,hh_less_than_10k,hh_10k_to_15k,hh_15k_to_25k,hh_25k_to_35k,hh_35k_to_50k,hh_50k_to_75k,hh_75k_to_100k,hh_100k_to_150k,hh_150k_to_200k,hh_200k_or_more,hh_median_income,hh_mean_income,pct_poc,zhvi,max_pfas,mean_pfas,total_detections,num_contaminants
08551,ZCTA5 08551,5873,92.8,0.4,1.5,6.1,0.0,5.7,87.5,2071,0.7,1.4,0.9,2.1,3.0,12.9,4.2,18.2,17.4,39.0,162617,210696,7.200000000000003,702600.6204427042,,,,
08553,ZCTA5 08553,819,89.5,1.1,0.1,8.4,0.2,7.7,79.9,318,0.0,0.0,1.3,4.7,6.9,4.4,10.1,24.8,10.1,37.7,148056,201096,10.5,697044.4128941664,,,,
08554,ZCTA5 08554,3527,70.6,14.1,0.4,15.2,0.0,5.7,66.8,1508,0.8,1.9,4.1,3.0,12.5,20.9,13.9,13.9,13.7,15.4,89242,108293,29.400000000000006,302065.1813789001,,,,
08555,ZCTA5 08555,996,91.7,2.4,0.9,4.3,0.4,38.8,55.0,338,0.9,3.8,2.1,3.6,9.5,4.7,19.8,25.1,8.9,21.6,110000,136083,8.299999999999997,472458.69418866705,,,,
08558,ZCTA5 08558,7648,64.0,6.1,0.8,30.1,0.7,5.8,57.7,2767,0.6,0.0,0.8,3.2,6.6,6.1,2.3,10.3,9.0,61.0,236016,306844,36.0,1005557.011360928,0.0075,0.00025416666666666665,19.0,20.0
08559,ZCTA5 08559,4836,97.0,1.3,0.1,1.0,0.0,7.1,87.9,2052,0.5,1.2,2.2,1.6,2.7,8.6,7.8,16.8,15.9,42.7,179600,250851,3.0,655127.5441664276,,,,
08560,ZCTA5 08560,3245,95.1,5.9,0.8,5.4,0.0,4.1,83.8,1333,4.8,0.9,12.5,2.6,4.4,3.6,13.1,12.7,17.9,27.4,128516,172668,4.900000000000006,656589.4604763394,0.0381,0.003465,12.0,20.0
08561,ZCTA5 08561,325,72.9,3.1,0.0,9.5,0.0,17.5,72.9,129,0.0,0.0,14.7,0.0,0.0,42.6,0.0,8.5,21.7,12.4,-,96705,27.099999999999994,,,,,
08562,ZCTA5 08562,4201,90.4,11.9,1.1,1.3,0.0,11.8,73.2,1579,4.8,1.4,3.1,7.7,12.1,9.6,8.3,23.4,13.3,16.3,103493,112281,9.599999999999994,506779.19491510186,,,,
08608,ZCTA5 08608,1250,9.5,64.2,1.4,0.0,0.0,28.6,6.2,653,3.8,22.4,0.0,15.0,0.0,16.7,23.3,18.8,0.0,0.0,61201,59302,90.5,,0.0,0.0,0.0,20.0
08609,ZCTA5 08609,15938,16.5,44.7,7.1,0.9,0.0,49.7,4.4,4880,8.3,6.5,4.8,9.5,11.7,15.1,16.7,15.1,8.6,3.6,68238,122026,83.5,204315.4261916651,0.0,0.0,0.0,20.0
08610,ZCTA5 08610,33465,59.5,15.7,2.5,2.8,0.1,45.9,36.7,12315,5.2,1.3,5.1,8.0,10.1,16.1,14.4,19.2,11.0,9.6,83906,105742,40.5,356316.9008896146,0.0,0.0,0.0,20.0
08611,ZCTA5 08611,31995,34.2,27.7,7.6,1.2,0.0,62.3,14.1,10716,9.9,5.6,7.2,8.1,13.8,13.5,17.0,15.8,4.5,4.4,56788,73082,65.8,195744.8224255696,0.0,0.0,0.0,20.0
08618,ZCTA5 08618,35634,29.7,62.2,1.2,3.9,0.6,15.7,20.4,13477,11.8,6.9,8.1,11.2,11.8,13.6,8.5,15.0,5.8,7.3,50390,74542,70.3,268857.4658260975,0.0,0.0,0.0,20.0
08619,ZCTA5 08619,24089,78.4,12.9,1.1,7.3,0.0,14.5,65.1,9924,1.5,2.3,4.2,6.1,7.2,12.4,12.0,23.0,17.3,13.8,105946,126045,21.599999999999994,425307.959205993,0.0116,0.0007707692307692308,31.0,20.0
08620,ZCTA5 08620,11621,85.6,11.2,0.2,1.7,0.0,12.1,74.1,4187,2.4,0.9,6.4,4.3,7.2,12.0,10.7,26.8,9.9,19.3,105368,125066,14.400000000000006,454629.37681531115,0.0,0.0,0.0,20.0
08628,ZCTA5 08628,9831,70.4,24.1,0.5,7.9,0.0,7.8,60.0,4468,2.3,1.1,2.0,6.0,4.3,18.8,12.4,17.3,17.2,18.5,108158,135276,29.599999999999994,421228.9338839073,0.0,0.0,0.0,20.0
08629,ZCTA5 08629,13013,27.1,30.2,7.3,1.4,0.0,59.3,10.4,4296,5.2,0.4,5.4,1.4,16.3,16.9,17.3,26.1,4.6,6.3,82646,94502,72.9,262761.54833851074,0.0,0.0,0.0,20.0
08638,ZCTA5 08638,22816,37.9,48.9,3.3,3.4,0.0,20.5,29.4,9045,12.2,3.6,4.0,7.1,10.2,17.2,12.2,19.0,9.5,5.0,66875,84869,62.1,319614.9562701763,0.0,0.0,0.0,20.0
08640,ZCTA5 08640,7984,65.1,32.2,0.9,3.5,0.2,28.5,38.9,789,1.4,0.1,0.0,4.6,6.8,21.9,17.7,29.8,11.9,5.7,92303,103344,34.900000000000006,,0.0,0.0,0.0,20.0
08641,ZCTA5 08641,4400,78.3,18.0,1.8,4.0,1.7,21.3,55.2,1322,0.2,0.0,2.9,9.4,12.8,26.9,16.2,20.9,3.9,6.9,74071,88869,21.700000000000003,,0.0,0.0,0.0,20.0
