ZIPCODE,max_pfas,mean_pfas,total_detections,num_contaminants,NAME,total_pop,pct_white,pct_black,pct_native,pct_asian,pct_pacific_islander,pct_hispanic,pct_nonhispanic_white,pct_minority
07033,0.0075,0.00025416666666666665,19,20,ZCTA5 07033,8401,71.6,6.9,0.3,6.4,0.0,31.6,56.2,43.8
07034,0.0109,0.0009456896551724138,100,20,ZCTA5 07034,11018,58.7,3.5,0.2,37.4,0.0,10.1,49.1,50.9
07035,0.0054,0.00014125000000000002,5,20,ZCTA5 07035,11120,86.6,6.3,0.3,7.0,0.0,16.4,71.8,28.200000000000003
07036,0.0075,0.00025416666666666665,19,20,ZCTA5 07036,45671,52.5,29.9,1.8,4.0,0.1,34.4,31.9,68.1
07039,0.044,0.0010005882352941177,144,20,ZCTA5 07039,31488,59.7,5.1,0.3,36.2,0.2,5.1,53.4,46.6
07040,0.0275,0.000448,44,20,ZCTA5 07040,25613,58.4,31.5,1.3,6.6,0.0,11.2,51.2,48.8
07041,0.0275,0.000448,44,20,ZCTA5 07041,7532,58.1,4.2,0.3,35.0,0.0,9.3,48.1,51.9
07042,0.013,0.00045250000000000005,10,20,ZCTA5 07042,27326,62.0,32.3,1.0,9.0,0.1,12.8,48.8,51.2
07043,0.0423,0.0006920833333333333,19,20,ZCTA5 07043,13256,86.8,8.6,1.2,9.5,0.0,6.1,74.1,25.900000000000006
07044,0.0423,0.0005330882352941177,53,20,ZCTA5 07044,14545,91.9,3.8,3.4,4.9,0.0,7.9,81.2,18.799999999999997
07045,0.0111,0.0006744444444444445,46,20,ZCTA5 07045,10561,69.8,2.8,2.1,28.7,0.0,6.4,62.0,38.0
07046,0.0133,0.0006626923076923077,29,20,ZCTA5 07046,4585,84.7,0.2,0.6,17.5,0.0,3.8,76.5,23.5
07047,0.014,0.0011375,48,20,ZCTA5 07047,61250,55.3,7.5,2.8,8.0,0.0,71.4,17.5,82.5
07050,0.013,0.0005933333333333333,12,20,ZCTA5 07050,34181,16.5,60.5,1.0,2.7,0.3,34.9,5.0,95.0
07052,0.0423,0.0005330882352941177,53,20,ZCTA5 07052,48620,51.1,31.2,0.7,6.5,0.1,22.5,40.4,59.6
07054,0.0109,0.0009456896551724138,100,20,ZCTA5 07054,29480,49.3,5.6,1.0,45.1,0.0,8.9,40.5,59.5
07055,0.0119,0.00197875,23,20,ZCTA5 07055,70002,70.2,9.8,1.9,4.8,0.2,73.3,14.1,85.9
07057,0.014,0.001115357142857143,56,20,ZCTA5 07057,11889,81.7,6.3,0.2,4.9,0.0,18.9,70.2,29.799999999999997
07059,0.0275,0.0003753125,63,20,ZCTA5 07059,16811,76.2,6.0,1.5,20.4,0.0,9.2,65.5,34.5
07060,0.0075,0.00025416666666666665,19,20,ZCTA5 07060,48363,25.6,25.9,2.0,3.1,0.0,62.9,9.2,90.8
07062,0.0075,0.00025416666666666665,19,20,ZCTA5 07062,15399,17.4,50.4,1.5,1.2,0.0,38.6,11.4,88.6
07063,0.0075,0.00025416666666666665,19,20,ZCTA5 07063,14235,14.4,37.5,0.8,1.4,0.3,53.9,7.4,92.6
07065,0.0069,0.00027875,4,20,ZCTA5 07065,30109,47.8,36.4,0.2,7.1,0.0,27.4,29.3,70.7
07066,0.0075,0.0002532142857142857,30,20,ZCTA5 07066,15622,88.5,3.2,1.9,5.0,0.0,12.6,77.7,22.299999999999997
07067,0.014,0.0011375,48,20,ZCTA5 07067,18587,67.8,7.9,1.8,16.9,0.0,17.5,56.4,43.6
07068,0.0079,0.0004316666666666667,4,20,ZCTA5 07068,6268,84.8,0.4,0.0,17.7,0.4,6.2,71.1,28.900000000000006
07069,0.0275,0.0003753125,63,20,ZCTA5 07069,6623,83.9,3.2,0.3,16.3,0.0,8.6,69.9,30.099999999999994
07070,0.014,0.0011375,48,20,ZCTA5 07070,18894,78.6,5.1,0.7,14.8,0.2,20.8,59.8,40.2
07071,0.008,0.0009062499999999999,13,20,ZCTA5 07071,22463,81.1,6.1,0.7,6.3,0.4,29.1,60.6,39.4
07072,0.014,0.0011375,48,20,ZCTA5 07072,6378,82.6,0.0,1.4,15.3,0.0,23.0,59.1,40.9
07073,0.014,0.0011375,48,20,ZCTA5 07073,10313,63.6,6.9,1.0,18.0,0.0,22.7,51.7,48.3
07074,0.014,0.0011375,48,20,ZCTA5 07074,3126,67.1,0.5,1.4,17.2,0.0,45.7,35.0,65.0
07075,0.014,0.0011375,48,20,ZCTA5 07075,10218,58.2,8.5,1.1,22.0,0.0,20.9,49.0,51.0
07076,0.0075,0.00025416666666666665,19,20,ZCTA5 07076,24843,76.2,13.4,1.0,15.5,0.0,13.8,59.6,40.4
07077,0.019,0.002175,23,20,ZCTA5 07077,3248,60.9,22.6,0.2,12.5,0.0,24.7,46.4,53.6
07078,0.0275,0.00045875000000000006,47,20,ZCTA5 07078,14613,56.1,2.2,0.3,42.9,0.2,4.4,49.9,50.1
07079,0.0275,0.00044985294117647057,52,20,ZCTA5 07079,18539,72.8,22.0,0.9,9.2,0.2,9.6,60.8,39.2
07080,0.0075,0.0002532142857142857,30,20,ZCTA5 07080,24411,59.8,11.2,1.3,22.4,0.0,17.0,48.0,52.0
07081,0.0275,0.000448,44,20,ZCTA5 07081,17171,69.7,11.1,0.2,10.1,0.1,17.8,60.8,39.2
07083,0.0275,0.0003753125,63,20,ZCTA5 07083,58170,38.7,40.6,1.2,11.8,0.1,19.3,27.9,72.1
07087,0.014,0.0011375,48,20,ZCTA5 07087,66463,47.1,9.7,3.4,4.5,0.2,81.8,9.5,90.5
07088,0.0275,0.000448,44,20,ZCTA5 07088,2901,9.2,72.8,0.6,3.3,0.0,18.8,7.1,92.9
07090,0.0075,0.00025416666666666665,19,20,ZCTA5 07090,31111,85.2,4.1,0.5,11.3,0.2,8.0,76.5,23.5
07092,0.0075,0.00025416666666666665,19,20,ZCTA5 07092,7049,84.1,2.8,0.0,13.0,0.0,13.2,71.3,28.700000000000003
07093,0.014,0.0011375,48,20,ZCTA5 07093,63758,51.4,8.1,3.6,8.6,0.1,74.2,13.6,86.4
07094,0.014,0.0011375,48,20,ZCTA5 07094,21778,50.8,9.0,2.2,37.5,0.0,18.3,33.7,66.3
07095,0.0073,0.0002515,11,20,ZCTA5 07095,20756,53.5,12.2,1.8,26.5,0.0,24.6,38.0,62.0
07102,0.0053,0.00012000000000000002,4,20,ZCTA5 07102,12358,25.9,53.9,1.0,8.9,0.2,19.4,15.0,85.0
07109,0.0053,8.64864864864865e-05,4,20,ZCTA5 07109,37984,54.3,10.2,0.9,10.7,0.3,51.9,29.2,70.8
07110,0.0053,0.00012000000000000002,4,20,ZCTA5 07110,29980,75.3,3.8,1.0,14.0,0.0,20.9,60.1,39.9
07111,0.0275,0.000448,44,20,ZCTA5 07111,60867,6.9,87.2,0.7,1.2,0.3,12.3,1.6,98.4
07201,0.0053,0.00014625,8,20,ZCTA5 07201,28467,46.9,26.3,3.9,1.5,0.0,66.2,9.0,91.0
07202,0.0045,0.00019875,4,20,ZCTA5 07202,44968,36.4,15.9,2.2,2.5,0.1,70.3,12.2,87.8
07203,0.0075,0.00025416666666666665,19,20,ZCTA5 07203,22646,28.6,45.9,2.9,1.9,0.1,44.2,11.3,88.7
07204,0.0075,0.00025416666666666665,19,20,ZCTA5 07204,14093,61.2,11.8,0.4,15.0,0.0,32.2,40.3,59.7
07206,0.0045,0.00019875,4,20,ZCTA5 07206,31930,22.7,21.7,0.8,2.0,0.2,71.2,7.4,92.6
07208,0.0045,0.00019875,4,20,ZCTA5 07208,31937,49.8,19.7,3.2,3.5,0.0,60.6,19.2,80.8
07302,0.0092,0.0010584415584415584,15,20,ZCTA5 07302,56220,53.9,7.2,0.8,37.3,0.0,14.5,40.1,59.9
07304,0.0092,0.0010584415584415584,15,20,ZCTA5 07304,51306,34.3,38.9,2.0,15.4,0.1,28.8,18.4,81.6
